race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance
Caucasian (European),19,0,0,1,Test Website,NO,34,30,21,42,17
Caucasian (European),19,0,1,1,Test Website,FI,38,21,20,31,31
Mixed Race,21,1,0,1,Test Website,US,48,27,39,44,31
Caucasian (European),49,0,1,1,Test Website,BE,44,44,41,46,41
Caucasian (European),18,1,0,1,Test Website,US,46,40,33,46,30
Caucasian (European),32,1,0,1,.edu website,US,28,26,22,40,24
Caucasian (European),60,1,0,1,Test Website,US,50,37,26,49,25
Caucasian (European),22,1,0,1,Test Website,IE,41,24,22,43,17
Caucasian (European),24,1,1,1,Test Website,PL,37,40,11,28,39
Caucasian (North African),16,0,0,0,Test Website,BR,43,33,29,42,38
Caucasian (European),20,0,1,1,Test Website,SK,42,26,26,29,25
Mixed Race,47,1,0,1,Google,US,38,33,30,41,37
Caucasian (European),15,1,0,1,Test Website,US,34,25,27,31,22
Mixed Race,17,1,0,1,Test Website,US,22,28,16,27,23
Mixed Race,13,1,0,2,Test Website,US,46,46,46,46,42
Caucasian (European),16,0,0,1,Test Website,HR,39,31,19,35,21
Caucasian (Middle East),23,0,0,1,Test Website,SA,32,28,22,33,33
Caucasian (European),30,1,0,1,Test Website,US,42,27,48,50,40
Caucasian (European),17,1,0,1,Test Website,US,43,23,44,41,26
Caucasian (North African),20,1,0,1,Google,US,34,34,24,43,28
Caucasian (European),25,1,1,1,Test Website,US,47,34,28,34,25
Caucasian (European),27,0,1,1,Test Website,BR,48,32,46,25,26
Caucasian (European),25,1,0,1,Test Website,US,41,50,16,36,28
Caucasian (European),21,1,0,1,Google,US,28,38,29,48,32
Caucasian (European),59,1,1,1,Test Website,IE,45,36,34,44,44
Caucasian (European),30,1,0,1,Google,US,49,42,43,42,43
Caucasian (European),37,1,0,1,Test Website,US,34,24,45,23,24
Mixed Race,27,0,0,1,Test Website,NZ,38,31,24,41,21
Caucasian (North African),41,1,0,0,Google,US,32,48,20,39,25
Caucasian (European),18,1,1,1,Test Website,GB,41,26,38,26,32
Caucasian (European),21,1,0,1,Test Website,US,38,24,37,40,21
Caucasian (North African),15,1,0,1,Test Website,US,42,41,32,47,34
Caucasian (European),18,0,0,1,Test Website,BR,47,31,28,29,17
Caucasian (European),20,1,1,0,Test Website,GB,43,32,42,40,38
Mixed Race,35,1,1,1,Test Website,US,47,43,46,49,43
Caucasian (European),24,1,0,1,Test Website,GB,36,19,26,29,25
Caucasian (European),33,1,0,1,Test Website,US,43,34,43,44,19
Mixed Race,20,0,0,1,Test Website,PH,35,35,19,32,32
Caucasian (European),59,1,0,1,Test Website,US,36,40,29,42,42
Caucasian (European),19,1,0,0,Test Website,CA,41,28,47,39,30
Mixed Race,26,0,1,1,Test Website,BR,46,34,30,28,25
Caucasian (European),24,0,0,1,Test Website,CA,37,38,31,43,38
Caucasian (European),31,1,0,1,Google,US,39,26,50,45,20
Caucasian (European),30,1,0,1,Test Website,US,44,16,28,47,27
Caucasian (Middle East),18,1,0,1,Test Website,US,33,38,20,20,22
Mixed Race,24,1,0,1,Other Source,US,45,48,31,45,29
Mixed Race,13,0,0,1,Test Website,US,50,45,41,47,35
Caucasian (European),19,1,0,1,Test Website,US,35,22,40,46,37
Mixed Race,20,1,0,1,Google,US,40,33,23,25,18
Mixed Race,13,1,0,1,Test Website,US,41,40,39,42,26
Mixed Race,16,1,0,1,Google,US,37,24,40,27,26
Caucasian (European),17,1,0,1,Test Website,AU,45,30,31,50,40
Caucasian (European),27,1,0,1,Test Website,US,37,28,44,40,35
Caucasian (European),20,1,0,1,Other Source,US,44,37,29,41,31
North East Asian,44,0,0,1,Test Website,JP,35,29,35,40,34
Caucasian (European),21,1,0,1,Test Website,CA,28,25,44,43,23
Caucasian (European),21,1,0,1,Google,CA,42,41,36,44,33
Caucasian (Indian),23,0,1,1,Test Website,IN,34,30,26,41,38
Mixed Race,24,1,0,1,Test Website,US,39,43,15,28,15
Mixed Race,39,1,1,1,Test Website,CA,41,33,27,38,28
Caucasian (European),45,1,0,1,Google,US,44,32,17,43,28
Caucasian (European),45,1,0,0,Other Source,US,38,23,46,47,36
Mixed Race,20,1,1,1,Test Website,US,49,39,45,49,40
Mixed Race,21,1,0,1,Test Website,US,33,32,25,32,16
Mixed Race,23,0,0,1,Google,ID,37,40,31,42,29
North East Asian,23,0,0,1,Test Website,PH,48,43,42,46,31
Caucasian (European),22,1,0,1,Test Website,US,38,19,12,41,24
Caucasian (European),16,1,0,1,Test Website,US,48,33,42,44,26
Caucasian (European),20,1,1,1,Other Source,AU,45,19,40,43,34
Mixed Race,33,0,0,1,Test Website,IN,39,41,28,40,41
Mixed Race,17,1,0,1,Test Website,AU,37,21,31,44,23
Mixed Race,17,1,0,1,Test Website,CA,43,32,23,34,30
Caucasian (European),20,1,0,1,Other Source,US,39,35,31,46,14
Mixed Race,59,1,0,1,Test Website,US,37,26,16,34,50
Caucasian (European),25,1,1,1,Google,CA,46,36,40,50,43
Caucasian (European),18,1,0,1,Test Website,AU,39,36,18,24,22
Mixed Race,27,0,1,1,Test Website,US,40,27,23,42,22
Caucasian (European),24,1,0,1,Test Website,CA,37,24,25,33,23
Caucasian (European),29,1,1,2,Test Website,US,50,46,47,48,46
Caucasian (European),16,1,0,2,Test Website,US,38,42,23,28,46
Mixed Race,29,1,1,1,Google,US,42,35,23,35,35
Mixed Race,33,0,0,1,Google,US,38,24,25,41,14
Caucasian (Indian),21,0,1,1,Test Website,IN,43,38,33,39,31
Caucasian (European),26,1,1,1,Facebook,US,42,37,30,37,29
Mixed Race,21,0,1,1,Test Website,IN,36,22,25,35,31
Caucasian (Indian),26,0,0,1,Test Website,IN,44,36,36,39,33
Caucasian (European),14,1,1,1,Test Website,US,49,24,39,21,32
Mixed Race,13,1,1,1,Test Website,US,38,30,18,22,12
Caucasian (European),30,0,1,1,Test Website,SE,48,29,47,45,42
Caucasian (European),27,1,1,1,Test Website,US,42,32,19,38,15
Caucasian (European),17,1,1,1,Test Website,US,49,28,24,35,13
Mixed Race,17,1,0,1,Other Source,US,35,36,41,36,31
Mixed Race,19,1,0,1,Test Website,AU,34,31,27,35,38
No Response,18,1,1,1,Test Website,US,46,27,19,20,36
Mixed Race,23,0,0,1,Test Website,MY,28,35,22,37,29
Mixed Race,20,0,0,1,Test Website,IN,29,25,32,42,37
